e, МПД, |МПД - min|, N(МПД), МЗС, |МЗС - min|, N(МЗС)
1e-08, 0.7390851291980793, 4.017081334239947e-09, 54, 0.7390851326968378, 5.183228291016917e-10, 74
1e-07, 0.7390851407909893, 7.575828631090076e-09, 50, 0.739085156929582, 2.371442131554602e-08, 68
1e-06, 0.7390853163245918, 1.8310943117327838e-07, 42, 0.7390852203717295, 8.715656885094347e-08, 58
1e-05, 0.7390868630313876, 1.7298162269252515e-06, 36, 0.7390859239559282, 7.907407675311617e-07, 48
1e-04, 0.7390780113220217, 7.121893139006019e-06, 30, 0.7390792595107429, 5.8737044177359365e-06, 40
0.001, 0.7388941650390626, 0.00019096817609809413, 22, 0.7391735975149316, 8.846429977094061e-05, 30
0.01, 0.739033203125, 5.193009016069006e-05, 16, 0.7385804768701105, 0.0005046563450501473, 20
0.1, 0.7523437500000001, 0.013258616784839417, 10, 0.7532889043741062, 0.014203771158945555, 10
